./instances/ruiz/json\n20m8-10.json,339,340,339
./instances/ruiz/json\n20m8-11.json,992,1022,1013
./instances/ruiz/json\n20m8-12.json,1109,1112,1134
./instances/ruiz/json\n20m8-13.json,1079,1070,1067
./instances/ruiz/json\n20m8-14.json,959,983,994
./instances/ruiz/json\n20m8-15.json,1136,1136,1133
./instances/ruiz/json\n20m8-16.json,615,618,619
./instances/ruiz/json\n20m8-17.json,501,504,486
./instances/ruiz/json\n20m8-18.json,752,765,770
./instances/ruiz/json\n20m8-19.json,628,658,683
./instances/ruiz/json\n20m8-20.json,687,700,661
./instances/ruiz/json\n20m8-21.json,1246,1232,1249
./instances/ruiz/json\n20m8-22.json,1359,1380,1422
./instances/ruiz/json\n20m8-23.json,1372,1353,1388
./instances/ruiz/json\n20m8-24.json,1482,1486,1489
./instances/ruiz/json\n20m8-25.json,1394,1353,1375
./instances/ruiz/json\n20m8-26.json,519,523,506
./instances/ruiz/json\n20m8-27.json,945,992,931
./instances/ruiz/json\n20m8-28.json,884,937,884
./instances/ruiz/json\n20m8-29.json,949,953,945
./instances/ruiz/json\n20m8-30.json,687,680,704
./instances/ruiz/json\n20m8-31.json,1609,1589,1571
./instances/ruiz/json\n20m8-32.json,1357,1419,1377
./instances/ruiz/json\n20m8-33.json,1418,1421,1414
./instances/ruiz/json\n20m8-34.json,1513,1548,1538
./instances/ruiz/json\n20m8-35.json,1447,1464,1398
./instances/ruiz/json\n20m8-36.json,957,1006,1032
./instances/ruiz/json\n20m8-37.json,1027,1026,1064
./instances/ruiz/json\n20m8-38.json,485,536,495
./instances/ruiz/json\n20m8-39.json,877,873,860
./instances/ruiz/json\n20m8-40.json,719,822,860
./instances/ruiz/json\n20m8-41.json,1093,1099,1111
./instances/ruiz/json\n20m8-42.json,1319,1338,1338
./instances/ruiz/json\n20m8-43.json,1205,1221,1237
./instances/ruiz/json\n20m8-44.json,1372,1373,1397
./instances/ruiz/json\n20m8-45.json,1147,1141,1135
./instances/ruiz/json\n20m8-46.json,614,611,611
./instances/ruiz/json\n20m8-47.json,669,641,685
./instances/ruiz/json\n20m8-48.json,428,416,419
./instances/ruiz/json\n20m8-49.json,456,448,458
./instances/ruiz/json\n20m8-50.json,551,554,560
./instances/ruiz/json\n20m8-51.json,1493,1493,1500
./instances/ruiz/json\n20m8-52.json,894,877,885
./instances/ruiz/json\n20m8-53.json,1609,1599,1633
./instances/ruiz/json\n20m8-54.json,1372,1410,1444
./instances/ruiz/json\n20m8-55.json,1106,1228,1186
./instances/ruiz/json\n20m8-56.json,417,429,460
./instances/ruiz/json\n20m8-57.json,325,321,325
./instances/ruiz/json\n20m8-58.json,660,663,663
./instances/ruiz/json\n20m8-59.json,640,630,630
./instances/ruiz/json\n20m8-60.json,864,841,806
./instances/ruiz/json\n20m8-61.json,1244,1262,1315
./instances/ruiz/json\n20m8-62.json,1542,1694,1682
./instances/ruiz/json\n20m8-63.json,1458,1490,1483
./instances/ruiz/json\n20m8-64.json,2125,2132,2104
./instances/ruiz/json\n20m8-65.json,1507,1522,1509
./instances/ruiz/json\n20m8-66.json,660,622,652
./instances/ruiz/json\n20m8-67.json,733,733,758
./instances/ruiz/json\n20m8-68.json,793,804,779
./instances/ruiz/json\n20m8-69.json,825,829,841
./instances/ruiz/json\n20m8-70.json,1399,1462,1415
./instances/ruiz/json\n20m8-71.json,1728,1721,1669
./instances/ruiz/json\n20m8-72.json,1453,1476,1483
./instances/ruiz/json\n20m8-73.json,2023,2082,2067
